SampleID,sampleID_ENA,Campaign,SiteLabel,EventID,Logsheet,Objective,DateTime,Latitude,Longitude,Depth,Depth_unit,Country,CoastDistance,LME,LMEDistance,MarineRegion,MRGID,ENVIRO_Biome,ENVIRO_Feature,ENVIRO_Material,EVENT_device,SAMPLE_description,SAMPLE_platform,SAMPLE_Protocol,SAMPLE_Quantity,SAMPLE_Container,SAMPLE_Content,SAMPLE_FilterUpper,SAMPLE_FilterLower,SAMPLE_TreatmentChemicals,SAMPLE_TreatmentStorage,BiosampleAccessionNumber,SampleAssessionNumber,Temperature,Temperature_unit,Temperature_flag,Salinity,Salinity_unit,Salinity_flag,pH,pH_unit,pH_flag,PO43,PO43_unit,PO43_flag,NO3,NO3_unit,NO3_flag,POC,POC_unit,POC_flag,NO2,NO2_unit,NO2_flag,DOC,DOC_unit,DOC_flag,NanoMicroPlankton,NanoMicroPlankton_unit,NanoMicroPlankton_flag,PAR,PAR_unit,PAR_flag,Conductivity,Conductivity_unit,Conductivity_flag,PP_C,PP_C_unit,PP_C_flag,Oxygen,Oxygen_unit,Oxygen_flag,PON,PON_unit,PON_flag,MesoMacroPlankton,MesoMacroPlankton_unit,MesoMacroPlankton_flag,BacterialProduction_C,BacterialProduction_C_unit,BacterialProduction_C_flag,DON,DON_unit,DON_flag,NH4+,NH4+_unit,NH4+_flag,SiOH4,SiOH4_unit,SiOH4_flag,Turbidity,Turbidity_unit,Turbidity_flag,Fluorometer,Fluorometer_unit,Fluorometer_flag,Chl_a,Chl_a_unit,Chl_a_flag
OSD107_2014-06_NPL022_1,OSD107_2014-06-20_0m_NPL022,OSD2014,OSD107,OSD107_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD107_20140620T0950Z.pdf,OSD2014 PORTUGAL MAINLAND,2014-06-20T09:50,39.14039,-9.38011,0,m,PRT,243,Iberian Coastal,193,North Atlantic Ocean,1912,estuarine biome ENVO:01000020,surface water ENVO:00002042,coastal sea water ENVO:00002150,ACID WASHED RECIPIENT,OSD107-LISBOA,Ground,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275540,ERS667558,20.2,centigrade,,30,PSU,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD108_2014-06_NPL022_1,OSD108_2014-06-20_0m_NPL022,OSD2014,OSD108,OSD108_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD108_20140620T1140Z.pdf,OSD2014 PORTUGAL MAINLAND,2014-06-20T11:40,38.757283,-8.966333,0,m,PRT,508,Iberian Coastal,0,North Atlantic Ocean,1912,estuarine biome ENVO:01000020,surface water ENVO:00002042,coastal sea water ENVO:00002150,ACID WASHED RECIPIENT,OSD108-ALCOCHETE,Ground,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275539,ERS667557,20.1,centigrade,,30,PSU,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD109_2014-06_NPL022_1,OSD109_2014-06-20_0m_NPL022,OSD2014,OSD109,OSD109_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD109_20140620T1100Z.pdf,OSD2014 at PT MAINLAND,2014-06-20T11:00,38.67694,-9.01239,0,m,PRT,33,Iberian Coastal,0,North Atlantic Ocean,1912,estuarine biome ENVO:01000020,surface water ENVO:00002042,coastal sea water ENVO:00002150,ACID WASHED RECIPIENT,OSD109-ROSARIO,Ground,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275538,ERS667556,20.5,centigrade,,30,PSU,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD11_2014-06_NPL022_1,OSD11_2014-06-17_15m_NPL022,OSD2014,OSD11,OSD11_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD11_20140617T1503Z.pdf,Taken as part of the RaTS long term monitoring series,2014-06-17T15:03,-67.344,-68.135,15,m,ATA,2681,Antarctica,0,South Pacific Ocean,1910,marine biome ENVO:00000447,liquid water ENVO:00002006,sea water ENVO:00002149,2l Niskin Bottle,Rothera base Antarctica 15m,RIB,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,not present,not present,-1.62,centigrade,,33.47,PSU,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD110_2014-06_NPL022_1,OSD110_2014-06-21_0m_NPL022,OSD2014,OSD110,OSD110_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD110_20140621T1030Z.pdf,OSD2014 at PT MAINLAND,2014-06-21T10:30,40.145122,-8.869328,0,m,PRT,618,Iberian Coastal,0,North Atlantic Ocean,1912,estuarine biome ENVO:01000020,surface water ENVO:00002042,coastal sea water ENVO:00002150,ACID WASHED RECIPIENT,OSD110-FIGUEIRA DA FOZ,Ground,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275537,ERS667555,23,centigrade,,22.5,PSU,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD111_2014-06_NPL022_1,OSD111_2014-06-21_0m_NPL022,OSD2014,OSD111,OSD111_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD111_20140621T0830Z.pdf,OSD2014 at PT MAINLAND,2014-06-21T08:30,40.659875,-8.703761,0,m,PRT,238,Iberian Coastal,0,North Atlantic Ocean,1912,estuarine biome ENVO:01000020,surface water ENVO:00002042,coastal sea water ENVO:00002150,ACID WASHED RECIPIENT,OSD111-RIA DE AVEIRO_1,Ground,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275536,ERS667554,25.2,centigrade,,30,PSU,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD113_2014-06_NPL022_1,OSD113_2014-06-21_39m_NPL022,OSD2014,OSD113,OSD113_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD113_20140621T1125Z.pdf,"Water sampling for the Ocean Sampling Day 2014 and zooplankton sampling for the monitoring station of the time-series CASCAIS-WATCH, the oceanographic observation programme of the Oceanography and Plankton Group of IPMA",2014-06-21T11:25,38.6667,-9.4367,39,m,PRT,2464,Iberian Coastal,0,North Atlantic Ocean,1912,marine biome ENVO:00000447,pelagic isothermal surface ENVO:01000080,mesotrophic water ENVO:00002225,"Sterilized 8L-Niskin bottle, Seabird SBE 911p CTD",Ocean water sample,Research vessel,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3282985,ERS667553,18,centigrade,,35.27,PSU,,8.5,dimensionless,,0.65,micromol/l,,1.4225,micromol/l,,not present,not present,,0.055,micromol/l,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,3.515,micromol/l,,6.135,micromol/l,,not present,not present,,not present,not present,,not present,not present,
OSD114_2014-06_NPL022_1,OSD114_2014-06-21_1m_NPL022,OSD2014,OSD114,OSD114_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD114_20140621T1005Z.pdf,"Water sampling for the Ocean Sampling Day 2014 and zooplankton sampling for the monitoring station of the time-series BERLENGAS-WATCH, the oceanographic observation programme of the Oceanography and Plankton Group of IPMA, with the collaboration of the Marine Resources Research Group (GIRM) of Polytechnic Institute of Leiria",2014-06-21T10:05,34.41,-9.51,1,m,MAR,156897,Canary Current,0,North Atlantic Ocean,1912,marine biome ENVO:00000447,surface water ENVO:00002042,mesotrophic water ENVO:00002225,Sterilized 8L-Niskin Bottle,Ocean Water sample,Vessel,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275535,ERS667552,18.5,centigrade,,33.57,PSU,,8.14,dimensionless,,0.1275,micromol/l,,0.8675,micromol/l,,not present,not present,,0.02,micromol/l,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,8.33,micromol/kg,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,1.305,micromol/l,,1.6225,micromol/l,,not present,not present,,not present,not present,,not present,not present,
OSD115_2014-06_NPL022_1,OSD115_2014-06-21_0m_NPL022,OSD2014,OSD115,OSD115_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD115_20140621T1430Z.pdf,OSD2014 at PT MAINLAND,2014-06-21T14:30,39.134347,-9.384778,0,m,PRT,309,Iberian Coastal,357,North Atlantic Ocean,1912,marine biome ENVO:00000447,surface water ENVO:00002042,coastal sea water ENVO:00002150,ACID WASHED RECIPIENT,OSD115-SANTA CRUZ,Ground,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275534,ERS667551,20.3,centigrade,,40,PSU,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD116_2014-06_NPL022_1,OSD116_2014-06-21_0m_NPL022,OSD2014,OSD116,OSD116_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD116_20140621T1330Z.pdf,OSD2014 at PT MAINLAND,2014-06-21T13:30,39.415067,-9.218828,0,m,PRT,613,Iberian Coastal,0,North Atlantic Ocean,1912,estuarine biome ENVO:01000020,surface water ENVO:00002042,coastal sea water ENVO:00002150,ACID WASHED RECIPIENT,OSD116-LAGOA DE ABIDOS,Ground,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275533,ERS667550,24.7,centigrade,,22.5,PSU,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD117_2014-06_NPL022_1,OSD117_2014-06-21_0m_NPL022,OSD2014,OSD117,OSD117_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD117_20140621T1610Z.pdf,"Water sampling for the Ocean Sampling Day, investigate ocean microbial diversity",2014-06-21T16:10,37.167,-7.504,0,m,PRT,0,Iberian Coastal,0,North Atlantic Ocean,1912,marine biome ENVO:00000447,pelagic isothermal surface ENVO:01000080,mesotrophic water ENVO:00002225,Sterilized 5L-Bucket,Ocean water sample,Beach/Intertidal zone structure,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275532,ERS667549,23.64,centigrade,,37.93,PSU,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD118_2014-06_NPL022_1,OSD118_2014-06-21_0.2m_NPL022,OSD2014,OSD118,OSD118_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD118_20140621T1214Z.pdf,Analysis of prokaryotic diversity in surface seawater.,2014-06-21T12:14,51.7423,-8.3112,0.2,m,IRL,70,Celtic-Biscay Shelf,52,Celtic Sea,2351,neritic epipelagic zone biome ENVO:01000042,surface water ENVO:00002042,sea water ENVO:00002149,Carboy,"Near-shore, surface seawater sampled. Seawater filtered on 0.22 uM Sterivex cartridges.",ENVO:00000000 SHORE,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275531,ERS667548,18,centigrade,,38,PSU,,8.93,dimensionless,,5.2647,micromol/l,,0.8065,micromol/l,,not present,not present,,0.5435,micromol/l,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,2.7778,micromol/l,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD119_2014-06_NPL022_1,OSD119_2014-06-21_1m_NPL022,OSD2014,OSD119,OSD119_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD119_20140621T1800Z.pdf,To collect environmental parameters and biological material for the OSD June 21st 2014,2014-06-21T18:00,21.3142,-89.6712,1,m,MEX,2705,Gulf of Mexico,0,Gulf of Mexico,4288,marine pelagic biome ENVO:01000023,surface water ENVO:00002042,sea water ENVO:00002149,CTD and Van Dorn bottle samplers,We collect 40 L of surface water in this point.,Primero de Junio,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,not present,not present,25.8,centigrade,,36.2,PSU,,7,dimensionless,,not present,not present,,1.526,micromol/l,,not present,not present,,0.115,micromol/l,,not present,not present,,not present,not present,,not present,not present,,55.6,mS/cm,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,0.438,micromol/l,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD120_2014-06_NPL022_1,OSD120_2014-06-21_5m_NPL022,OSD2014,OSD120,OSD120_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD120_20140621T1813Z.pdf,To collect environmental parameters and biological material for the OSD June 2014,2014-06-21T18:13,21.4934,-88.8468,5,m,MEX,9007,Gulf of Mexico,0,Gulf of Mexico,4288,marine pelagic biome ENVO:01000023,surface water ENVO:00002042,sea water ENVO:00002149,CTD and Van Dorn bottle samplers,We collected 40 L,without registration,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,not present,not present,26.7,centigrade,,38.98,PSU,,6,dimensionless,,not present,not present,,1.493,micromol/l,,not present,not present,,0.052,micromol/l,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,0.438,micromol/l,,3.6,micromol/l,,not present,not present,,not present,not present,,not present,not present,
