SampleID,Campaign,SiteLabel,EventID,Logsheet,Objective,DateTime,Latitude,Longitude,Depth,Country,CoastDistance,LME,LMEDistance,MarineRegion,MRGID,ENVIRO_Biome,ENVIRO_Feature,ENVIRO_Material,EVENT_device,SAMPLE_description,SAMPLE_platform,SAMPLE_Protocol,SAMPLE_Quantity,SAMPLE_Container,SAMPLE_Content,SAMPLE_FilterUpper,SAMPLE_FilterLower,SAMPLE_TreatmentChemicals,SAMPLE_TreatmentStorage,BiosampleAccessionNumber,SampleAssessionNumber,Temperature,Salinity,pH,PO43,NO3,POC,NO2,DOC,NanoMicroPlankton,PAR,Conductivity,PP_C,Oxygen,PON,MesoMacroPlankton,BacterialProduction_C,DON,NH4+,SiOH4,Turbidity,Fluorometer,Chl_a
OSD107_2014-06_NPL022_1,OSD2014,OSD107,OSD107_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD107_20140620T0950Z.pdf,OSD2014 PORTUGAL MAINLAND,2014-06-20T09:50,39.14039,-9.38011,0,PRT,243,Iberian Coastal,193,North Atlantic Ocean,1912,estuarine biome ENVO:01000020,surface water ENVO:00002042,coastal sea water ENVO:00002150,ACID WASHED RECIPIENT,OSD107-LISBOA,Ground,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275540,ERS667558,20.2,30,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
OSD108_2014-06_NPL022_1,OSD2014,OSD108,OSD108_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD108_20140620T1140Z.pdf,OSD2014 PORTUGAL MAINLAND,2014-06-20T11:40,38.757283,-8.966333,0,PRT,508,Iberian Coastal,0,North Atlantic Ocean,1912,estuarine biome ENVO:01000020,surface water ENVO:00002042,coastal sea water ENVO:00002150,ACID WASHED RECIPIENT,OSD108-ALCOCHETE,Ground,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275539,ERS667557,20.1,30,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
OSD109_2014-06_NPL022_1,OSD2014,OSD109,OSD109_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD109_20140620T1100Z.pdf,OSD2014 at PT MAINLAND,2014-06-20T11:00,38.67694,-9.01239,0,PRT,33,Iberian Coastal,0,North Atlantic Ocean,1912,estuarine biome ENVO:01000020,surface water ENVO:00002042,coastal sea water ENVO:00002150,ACID WASHED RECIPIENT,OSD109-ROSARIO,Ground,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275538,ERS667556,20.5,30,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
OSD11_2014-06_NPL022_1,OSD2014,OSD11,OSD11_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD11_20140617T1503Z.pdf,Taken as part of the RaTS long term monitoring series,2014-06-17T15:03,-67.344,-68.135,15,ATA,2681,Antarctica,0,South Pacific Ocean,1910,marine biome ENVO:00000447,liquid water ENVO:00002006,sea water ENVO:00002149,2l Niskin Bottle,Rothera base Antarctica 15m,RIB,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,not present,not present,-1.62,33.47,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
OSD110_2014-06_NPL022_1,OSD2014,OSD110,OSD110_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD110_20140621T1030Z.pdf,OSD2014 at PT MAINLAND,2014-06-21T10:30,40.145122,-8.869328,0,PRT,618,Iberian Coastal,0,North Atlantic Ocean,1912,estuarine biome ENVO:01000020,surface water ENVO:00002042,coastal sea water ENVO:00002150,ACID WASHED RECIPIENT,OSD110-FIGUEIRA DA FOZ,Ground,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275537,ERS667555,23,22.5,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
OSD111_2014-06_NPL022_1,OSD2014,OSD111,OSD111_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD111_20140621T0830Z.pdf,OSD2014 at PT MAINLAND,2014-06-21T08:30,40.659875,-8.703761,0,PRT,238,Iberian Coastal,0,North Atlantic Ocean,1912,estuarine biome ENVO:01000020,surface water ENVO:00002042,coastal sea water ENVO:00002150,ACID WASHED RECIPIENT,OSD111-RIA DE AVEIRO_1,Ground,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275536,ERS667554,25.2,30,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
OSD113_2014-06_NPL022_1,OSD2014,OSD113,OSD113_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD113_20140621T1125Z.pdf,"Water sampling for the Ocean Sampling Day 2014 and zooplankton sampling for the monitoring station of the time-series CASCAIS-WATCH, the oceanographic observation programme of the Oceanography and Plankton Group of IPMA",2014-06-21T11:25,38.6667,-9.4367,39,PRT,2464,Iberian Coastal,0,North Atlantic Ocean,1912,marine biome ENVO:00000447,pelagic isothermal surface ENVO:01000080,mesotrophic water ENVO:00002225,"Sterilized 8L-Niskin bottle, Seabird SBE 911p CTD",Ocean water sample,Research vessel,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3282985,ERS667553,18,35.27,8.5,0.65,1.4225,not present,0.055,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,3.515,6.135,not present,not present,not present
OSD114_2014-06_NPL022_1,OSD2014,OSD114,OSD114_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD114_20140621T1005Z.pdf,"Water sampling for the Ocean Sampling Day 2014 and zooplankton sampling for the monitoring station of the time-series BERLENGAS-WATCH, the oceanographic observation programme of the Oceanography and Plankton Group of IPMA, with the collaboration of the Marine Resources Research Group (GIRM) of Polytechnic Institute of Leiria",2014-06-21T10:05,34.41,-9.51,1,MAR,156897,Canary Current,0,North Atlantic Ocean,1912,marine biome ENVO:00000447,surface water ENVO:00002042,mesotrophic water ENVO:00002225,Sterilized 8L-Niskin Bottle,Ocean Water sample,Vessel,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275535,ERS667552,18.5,33.57,8.14,0.1275,0.8675,not present,0.02,not present,not present,not present,not present,not present,8.33,not present,not present,not present,not present,1.305,1.6225,not present,not present,not present
OSD115_2014-06_NPL022_1,OSD2014,OSD115,OSD115_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD115_20140621T1430Z.pdf,OSD2014 at PT MAINLAND,2014-06-21T14:30,39.134347,-9.384778,0,PRT,309,Iberian Coastal,357,North Atlantic Ocean,1912,marine biome ENVO:00000447,surface water ENVO:00002042,coastal sea water ENVO:00002150,ACID WASHED RECIPIENT,OSD115-SANTA CRUZ,Ground,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275534,ERS667551,20.3,40,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
OSD116_2014-06_NPL022_1,OSD2014,OSD116,OSD116_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD116_20140621T1330Z.pdf,OSD2014 at PT MAINLAND,2014-06-21T13:30,39.415067,-9.218828,0,PRT,613,Iberian Coastal,0,North Atlantic Ocean,1912,estuarine biome ENVO:01000020,surface water ENVO:00002042,coastal sea water ENVO:00002150,ACID WASHED RECIPIENT,OSD116-LAGOA DE ABIDOS,Ground,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275533,ERS667550,24.7,22.5,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
OSD117_2014-06_NPL022_1,OSD2014,OSD117,OSD117_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD117_20140621T1610Z.pdf,"Water sampling for the Ocean Sampling Day, investigate ocean microbial diversity",2014-06-21T16:10,37.167,-7.504,0,PRT,0,Iberian Coastal,0,North Atlantic Ocean,1912,marine biome ENVO:00000447,pelagic isothermal surface ENVO:01000080,mesotrophic water ENVO:00002225,Sterilized 5L-Bucket,Ocean water sample,Beach/Intertidal zone structure,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275532,ERS667549,23.64,37.93,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
OSD118_2014-06_NPL022_1,OSD2014,OSD118,OSD118_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD118_20140621T1214Z.pdf,Analysis of prokaryotic diversity in surface seawater.,2014-06-21T12:14,51.7423,-8.3112,0.2,IRL,70,Celtic-Biscay Shelf,52,Celtic Sea,2351,neritic epipelagic zone biome ENVO:01000042,surface water ENVO:00002042,sea water ENVO:00002149,Carboy,"Near-shore, surface seawater sampled. Seawater filtered on 0.22 uM Sterivex cartridges.",ENVO:00000000 SHORE,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275531,ERS667548,18,38,8.93,5.2647,0.8065,not present,0.5435,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,2.7778,not present,not present,not present,not present
OSD119_2014-06_NPL022_1,OSD2014,OSD119,OSD119_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD119_20140621T1800Z.pdf,To collect environmental parameters and biological material for the OSD June 21st 2014,2014-06-21T18:00,21.3142,-89.6712,1,MEX,2705,Gulf of Mexico,0,Gulf of Mexico,4288,marine pelagic biome ENVO:01000023,surface water ENVO:00002042,sea water ENVO:00002149,CTD and Van Dorn bottle samplers,We collect 40 L of surface water in this point.,Primero de Junio,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,not present,not present,25.8,36.2,7,not present,1.526,not present,0.115,not present,not present,not present,55.6,not present,not present,not present,not present,not present,not present,0.438,not present,not present,not present,not present
OSD120_2014-06_NPL022_1,OSD2014,OSD120,OSD120_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD120_20140621T1813Z.pdf,To collect environmental parameters and biological material for the OSD June 2014,2014-06-21T18:13,21.4934,-88.8468,5,MEX,9007,Gulf of Mexico,0,Gulf of Mexico,4288,marine pelagic biome ENVO:01000023,surface water ENVO:00002042,sea water ENVO:00002149,CTD and Van Dorn bottle samplers,We collected 40 L,without registration,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,not present,not present,26.7,38.98,6,not present,1.493,not present,0.052,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,0.438,3.6,not present,not present,not present
OSD121_2014-06_NPL022_1,OSD2014,OSD121,OSD121_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD121_20140621T1759Z.pdf,To collect environmental parameters and biological material for the OSD 2014,2014-06-21T17:59,20.8841,-90.4967,5,MEX,11090,Gulf of Mexico,0,Gulf of Mexico,4288,marine pelagic biome ENVO:01000023,surface water ENVO:00002042,sea water ENVO:00002149,CTD and Van Dorn bottle samplers,We collected 40 L of water,without registration,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,not present,not present,28.6,36.8,7,not present,1.493,not present,0.052,not present,not present,not present,60.7,not present,not present,not present,not present,not present,not present,0.406,3.6,not present,not present,not present
OSD122_2014-06_NPL022_1,OSD2014,OSD122,OSD122_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD122_20140622T0745Z.pdf,Sampling for OSD,2014-06-22T07:45,29.4667,34.9291,0,ISR,3703,Red Sea,0,Gulf of Aqaba,4263,marine biome ENVO:00000447,surface water ENVO:00002042,oligotrophic water ENVO:00002223,pump,OSD3-06-14 St a1 eilat NPL022 1Surface,boat,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275530,ERS667544,24,40.5,not present,not present,0.25,not present,0.01,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,0.69,not present,0.106,not present
OSD123_2014-06_NE08_1,OSD2014,OSD123,OSD123_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD123_20140622T0900Z.pdf,to characterize the bacterial dynamics at routinely offshore coastal station,2014-06-22T09:00,32.822,32.954,3.5,EGY,173306,Mediterranean Sea,0,Mediterranean Sea - Eastern Basin,4280,marine subtidal rocky reef biome ENVO:01000050,marine subtidal rocky reef ENVO:01000150,coastal sea water ENVO:00002150,20L bottles,Sampling for OSD,not present,NE08 (Protocol B),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,not present,not present,27,39.4,not present,0.02,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
OSD123_2014-06_NPL022_1,OSD2014,OSD123,OSD123_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD123_20140622T0900Z.pdf,to characterize the bacterial dynamics at routinely offshore coastal station,2014-06-22T09:00,32.822,32.954,4,EGY,173306,Mediterranean Sea,0,Mediterranean Sea - Eastern Basin,4280,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,20L bottles,Sampling for OSD,not present,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275529,ERS667543,27,39.4,not present,0.02,0.34,not present,not present,not present,not present,not present,not present,6.7,not present,not present,not present,4,not present,not present,not present,not present,not present,not present
OSD124_2014-06_NE08_1,OSD2014,OSD124,OSD124_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD124_20140621T0325Z.pdf,Marine biome and virome,2014-06-21T03:25,34.32444,135.12083,5,JPN,422,Kuroshio Current,0,Japan Sea,4307,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,not present,"In this site, the ocean water and coastal water is sporadically interchanged.",Vessel at fixed position,NE08 (Protocol B),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275528,ERS667542,21.15,33.19,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
OSD124_2014-06_NPL022_1,OSD2014,OSD124,OSD124_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD124_20140621T0325Z.pdf,Marine biome and virome,2014-06-21T03:25,34.32444,135.12083,5,JPN,422,Kuroshio Current,0,Japan Sea,4307,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,not present,"In this site, the ocean water and coastal water is sporadically interchanged.",Vessel at fixed position,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275527,ERS667541,21.15,33.19,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
OSD125_2014-06_NPL022_1,OSD2014,OSD125,OSD125_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD125_20140621T1300Z.pdf,Sampling for OSD,2014-06-21T13:00,55.03306,-1.43278,0,GBR,0,North Sea,123,North Sea,2350,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,Bucket and Rope/Horiba,Surface water sampling for OSD,Pier,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275526,ERS667540,16.04,26.4,8.5,not present,not present,not present,not present,not present,not present,not present,35.2,not present,50,not present,not present,not present,not present,not present,not present,13.5,not present,not present
OSD126_2014-06_NPL022_1,OSD2014,OSD126,OSD126_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD126_20140621T1215Z.pdf,"Surface water sample in Fjord Eyjafjordur, Iceland at 21.6.2014 at 12:15. 0.22 um Sterivex filtration",2014-06-21T12:15,66.00691,-18.19653,1,ISL,0,Iceland Shelf and Sea,3870,Greenland Sea,2356,marine biome ENVO:00000447,fjord ENVO:00000039,coastal sea water ENVO:00002150,Nissan Bottles 1.6 L,Water more turbid than of sample,Research Vessel Einari Nesi,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275525,ERS667539,12.2,42.3,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
OSD127_2014-06_NPL022_1,OSD2014,OSD127,OSD127_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD127_20140621T1143Z.pdf,Ocean water in 10 m depth for comparison with same location at 1 m,2014-06-21T11:43,66.00776,-18.19531,10,ISL,0,Iceland Shelf and Sea,3950,Greenland Sea,2356,marine biome ENVO:00000447,fjord ENVO:00000039,sea water ENVO:00002149,Niskin Bottles 1.6 L,Identical location as OSD126_Eyjafordur_1 but different depth,Research vessel Einari Nesi,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275524,ERS667538,11.24,59.7,not present,not present,not present,not present,not present,not present,not present,not present,59.7,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
OSD128_2014-06_NPL022_1,OSD2014,OSD128,OSD128_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD128_20140621T1705Z.pdf,"Eyjafjordur, Akureyri, Iceland",2014-06-21T17:05,65.4886,-18.0608,1,ISL,0,Iceland Shelf and Sea,not present,Greenland Sea,2357,marine biome ENVO:00000447,fjord ENVO:00000039,sea water ENVO:00002149,Nissan bottles 1.6 L,Surface sampling,Research vessel Einari Nesi,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275523,ERS667537,12,14,not present,not present,not present,not present,not present,not present,not present,not present,14,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
OSD129_2014-06_NPL022_1,OSD2014,OSD129,OSD129_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD129_20140621T1638Z.pdf,"Eyjafjordur, Akureyri, Iceland",2014-06-21T16:38,65.817186,-18.101835,10,ISL,1325,Iceland Shelf and Sea,0,Greenland Sea,2356,marine biome ENVO:00000447,fjord ENVO:00000039,sea water ENVO:00002149,Niskin bottles 1.6 L,10 m sample of same site as OSD 128,Research Vessel Einari Nesi,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275522,ERS667536,9.9,61.5,not present,not present,not present,not present,not present,not present,not present,not present,61.5,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present
